epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.26422,1.66219,2.16089,0.01002,0.78517,0.58468,0.6561,0.46877,1.32459,1.58991,0.00762,3.75e-05,3.75e-05,3.75e-05
2,2.78409,1.68289,2.26202,0.01014,0.77785,0.6489,0.68643,0.48551,1.31673,1.39661,0.00751,8.57675e-05,8.57675e-05,8.57675e-05
3,3.30663,1.57432,1.57607,0.0093,0.81334,0.73501,0.75189,0.52096,1.30954,0.90307,0.00734,0.000132055,0.000132055,0.000132055
4,3.83006,1.52745,1.11719,0.00848,0.88074,0.74679,0.80391,0.53944,1.29205,0.76735,0.00704,0.000176362,0.000176362,0.000176362
5,4.34421,1.47483,0.95439,0.00817,0.82825,0.78836,0.81408,0.54364,1.24805,0.77371,0.00678,0.00021869,0.00021869,0.00021869
6,4.85646,1.43542,0.80083,0.00779,0.78235,0.80613,0.7975,0.5131,1.28084,0.92215,0.0072,0.000259038,0.000259038,0.000259038
7,5.35933,1.36337,0.72525,0.00728,0.75716,0.8125,0.80362,0.52852,1.22489,0.94146,0.00659,0.000297405,0.000297405,0.000297405
8,5.8808,1.35728,0.7202,0.00733,0.79771,0.80004,0.83359,0.55386,1.22626,0.88806,0.00653,0.000333792,0.000333792,0.000333792
9,6.4067,1.33202,0.65461,0.00687,0.82791,0.8281,0.85626,0.57321,1.22818,0.77629,0.00655,0.0003682,0.0003682,0.0003682
10,6.9243,1.29406,0.63415,0.00669,0.82561,0.8324,0.8608,0.58351,1.19893,0.71525,0.00635,0.000400628,0.000400628,0.000400628
11,7.44419,1.30703,0.63113,0.00688,0.82381,0.85678,0.87916,0.59069,1.22492,0.6646,0.00629,0.000431075,0.000431075,0.000431075
12,7.96971,1.29433,0.62265,0.00646,0.88258,0.83171,0.90689,0.62467,1.17216,0.61279,0.00606,0.000459543,0.000459543,0.000459543
13,8.48026,1.32791,0.61778,0.00653,0.87426,0.87598,0.91505,0.61787,1.18931,0.59798,0.00621,0.00048603,0.00048603,0.00048603
14,8.98282,1.27178,0.59536,0.00646,0.8425,0.87707,0.90671,0.62213,1.19152,0.61435,0.00636,0.000510537,0.000510537,0.000510537
15,9.49699,1.23465,0.56585,0.00635,0.86855,0.85241,0.91155,0.62357,1.18035,0.5887,0.00631,0.000533065,0.000533065,0.000533065
16,10.0153,1.25896,0.57951,0.00628,0.88468,0.84968,0.92175,0.61636,1.2149,0.53905,0.00665,0.000553613,0.000553613,0.000553613
17,10.5256,1.27158,0.57702,0.00637,0.89074,0.83136,0.91708,0.62926,1.17624,0.5487,0.0064,0.00057218,0.00057218,0.00057218
18,11.0369,1.29099,0.56485,0.00647,0.89041,0.83887,0.92368,0.63428,1.17703,0.51386,0.00641,0.000588767,0.000588767,0.000588767
19,11.5481,1.23622,0.54406,0.00623,0.89203,0.87954,0.93432,0.63985,1.19997,0.51366,0.00668,0.000603375,0.000603375,0.000603375
20,12.0809,1.23515,0.5558,0.00635,0.89853,0.86864,0.93869,0.64316,1.178,0.51699,0.00642,0.000616003,0.000616003,0.000616003
21,12.595,1.22904,0.53208,0.00632,0.88746,0.85825,0.93073,0.63554,1.20066,0.51969,0.00665,0.00062665,0.00062665,0.00062665
22,13.0987,1.20883,0.52996,0.00621,0.89945,0.84016,0.92608,0.64126,1.14281,0.525,0.00612,0.000635318,0.000635318,0.000635318
23,13.6001,1.23551,0.53865,0.00606,0.9062,0.85734,0.92953,0.63743,1.17995,0.52636,0.00647,0.000642005,0.000642005,0.000642005
24,14.1034,1.20886,0.53547,0.00603,0.8821,0.86312,0.93122,0.63674,1.15536,0.52506,0.00623,0.000646713,0.000646713,0.000646713
25,14.6221,1.2445,0.53343,0.0061,0.91525,0.88334,0.94022,0.65392,1.14495,0.50434,0.00606,0.00064944,0.00064944,0.00064944
26,15.1322,1.22362,0.5471,0.00605,0.8917,0.88893,0.93668,0.66456,1.12657,0.49056,0.00601,0.00063125,0.00063125,0.00063125
27,15.6382,1.22672,0.53382,0.00598,0.88998,0.87894,0.93377,0.65227,1.1473,0.48796,0.0062,0.0006065,0.0006065,0.0006065
28,16.1422,1.18879,0.51597,0.00579,0.89839,0.86504,0.93114,0.66569,1.1202,0.48267,0.00596,0.00058175,0.00058175,0.00058175
29,16.6524,1.2106,0.51664,0.00583,0.90214,0.87651,0.93277,0.66489,1.11839,0.4909,0.00595,0.000557,0.000557,0.000557
30,17.1605,1.22131,0.53089,0.00593,0.9193,0.85392,0.93182,0.65926,1.12829,0.48489,0.0063,0.00053225,0.00053225,0.00053225
31,17.6691,1.18404,0.48972,0.00588,0.90366,0.87629,0.9358,0.66172,1.13855,0.49216,0.00618,0.0005075,0.0005075,0.0005075
32,18.1654,1.21498,0.50641,0.006,0.92443,0.85271,0.94052,0.65746,1.13435,0.47946,0.0059,0.00048275,0.00048275,0.00048275
33,18.665,1.21426,0.50694,0.0059,0.92721,0.87041,0.94273,0.66214,1.11778,0.47064,0.00586,0.000458,0.000458,0.000458
34,19.169,1.17972,0.47824,0.00585,0.8998,0.88529,0.94008,0.66658,1.10601,0.47383,0.00581,0.00043325,0.00043325,0.00043325
35,19.6932,1.19782,0.51012,0.00586,0.87961,0.89358,0.93989,0.67273,1.1089,0.48652,0.00588,0.0004085,0.0004085,0.0004085
36,20.1999,1.21996,0.50835,0.00566,0.89974,0.87369,0.9364,0.66788,1.10425,0.49455,0.00576,0.00038375,0.00038375,0.00038375
37,20.7011,1.14764,0.48226,0.00557,0.90512,0.86984,0.93456,0.67785,1.09,0.49236,0.00558,0.000359,0.000359,0.000359
38,21.205,1.16861,0.50586,0.00571,0.89675,0.87962,0.93418,0.66372,1.12614,0.48799,0.00598,0.00033425,0.00033425,0.00033425
39,21.7164,1.16701,0.49303,0.00556,0.88896,0.88875,0.93491,0.67882,1.09832,0.48564,0.00567,0.0003095,0.0003095,0.0003095
40,22.2313,1.15427,0.49997,0.00564,0.8979,0.88749,0.93843,0.67973,1.08984,0.48209,0.00577,0.00028475,0.00028475,0.00028475
41,23.6557,1.06253,0.49611,0.00585,0.90089,0.87256,0.93432,0.67114,1.1067,0.47279,0.00588,0.00026,0.00026,0.00026
42,24.2252,1.08088,0.41245,0.00558,0.9089,0.87083,0.93528,0.67628,1.10401,0.4802,0.0058,0.00023525,0.00023525,0.00023525
43,24.7233,1.04418,0.41972,0.00565,0.92586,0.86702,0.93476,0.67198,1.1016,0.48147,0.00566,0.0002105,0.0002105,0.0002105
44,25.2309,1.05,0.3824,0.00549,0.92566,0.87109,0.93609,0.67844,1.09766,0.48068,0.00569,0.00018575,0.00018575,0.00018575
45,25.727,1.01729,0.37812,0.0053,0.9218,0.87432,0.93405,0.67537,1.0971,0.49002,0.00585,0.000161,0.000161,0.000161
46,26.2205,1.03848,0.38453,0.00542,0.92384,0.87819,0.93485,0.67501,1.09478,0.48885,0.0058,0.00013625,0.00013625,0.00013625
47,26.7151,1.02792,0.39102,0.00531,0.92098,0.8736,0.9363,0.68077,1.08396,0.48209,0.00555,0.0001115,0.0001115,0.0001115
48,27.223,1.00952,0.39755,0.00522,0.92273,0.87218,0.93582,0.68288,1.08303,0.47712,0.00551,8.675e-05,8.675e-05,8.675e-05
49,27.7244,1.01932,0.37367,0.00521,0.93071,0.86159,0.93561,0.68096,1.08737,0.48141,0.00554,6.2e-05,6.2e-05,6.2e-05
50,28.2202,1.02562,0.3726,0.0054,0.93502,0.85279,0.93658,0.6821,1.08456,0.48357,0.00552,3.725e-05,3.725e-05,3.725e-05
