epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7.19273,1.38876,4.33206,0.01447,0.0026,0.40647,0.00946,0.00435,1.7683,4.08757,0.01519,0.0063,0.0021,0.0063,0.0021,0.0853,0.0811,0.0063,0.0021
2,12.5475,1.13997,2.87625,0.01064,0.00356,0.56484,0.19131,0.14698,1.51342,3.68283,0.01182,0.0128361,0.00427871,0.0128361,0.00427871,0.0698361,0.0612787,0.0128361,0.00427871
3,17.9153,1.12199,1.92476,0.01027,0.00474,0.68969,0.28882,0.18467,1.61893,3.43076,0.01273,0.0193069,0.00643565,0.0193069,0.00643565,0.0543069,0.0414356,0.0193069,0.00643565
4,23.2137,1.09057,1.53069,0.00996,1,0.02763,0.44064,0.28506,1.46529,2.86581,0.01107,0.0257124,0.0085708,0.0257124,0.0085708,0.0387124,0.0215708,0.0257124,0.0085708
5,28.6025,1.11728,1.28222,0.01002,0.99632,0.08101,0.5427,0.31317,1.64804,2.53812,0.01337,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,33.9506,1.08376,1.12637,0.0096,0.92533,0.20906,0.52531,0.35631,1.54882,2.20218,0.01262,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,39.2434,1.05263,0.96861,0.0092,0.77278,0.38877,0.55132,0.37001,1.71205,2.03298,0.01421,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,44.5278,1.03295,0.87811,0.00905,0.81794,0.56684,0.73495,0.46172,1.58337,1.4926,0.01189,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,49.832,1.01866,0.81952,0.00881,0.77278,0.51722,0.62481,0.37204,1.77931,1.64733,0.01513,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,55.1183,0.993,0.76087,0.00846,0.75812,0.66188,0.73536,0.45502,1.60478,1.18769,0.01232,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,60.4228,0.98087,0.71801,0.00829,0.6655,0.66644,0.67895,0.42327,1.69354,1.03297,0.01271,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,65.734,0.99136,0.68152,0.00841,0.67725,0.66505,0.68351,0.4281,1.60847,1.20585,0.01231,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,71.0371,0.9789,0.6726,0.00821,0.69545,0.64182,0.70672,0.4347,1.63266,1.21834,0.01193,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,76.3355,0.9702,0.64075,0.00814,0.78593,0.71371,0.79004,0.51388,1.49396,1.02116,0.01114,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,81.6085,0.95499,0.6404,0.00818,0.78347,0.60476,0.67424,0.4235,1.78398,1.3591,0.01403,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,86.9215,0.9714,0.62358,0.00812,0.75385,0.66119,0.73439,0.47953,1.63655,1.23444,0.01188,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,92.1946,0.96649,0.59367,0.00812,0.77822,0.62427,0.68172,0.43492,1.67626,1.34316,0.01287,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,97.4892,0.95299,0.58006,0.00811,0.73763,0.70389,0.76498,0.49133,1.53403,0.92413,0.01073,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,102.768,0.9488,0.56841,0.00802,0.79039,0.72295,0.82788,0.50613,1.58865,0.88023,0.0128,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,108.047,0.93443,0.56417,0.00789,0.83466,0.76396,0.85062,0.54329,1.52301,0.91812,0.01145,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,113.331,0.93722,0.55667,0.00786,0.77969,0.67547,0.7825,0.51702,1.55735,1.3825,0.01144,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,118.636,0.94171,0.56669,0.00783,0.76642,0.63514,0.68848,0.44689,1.59313,1.25416,0.01147,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,123.948,0.93703,0.5406,0.00776,0.75831,0.67427,0.74208,0.46116,1.65071,1.15861,0.01189,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,129.239,0.92101,0.53257,0.00762,0.75014,0.69807,0.76171,0.50764,1.51623,0.96952,0.0112,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,134.515,0.91919,0.54887,0.00766,0.82699,0.63249,0.71365,0.46408,1.67518,1.27332,0.01256,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,139.834,0.91461,0.54121,0.00762,0.76786,0.70654,0.75942,0.46887,1.61977,0.97706,0.01235,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,145.14,0.91329,0.52432,0.00754,0.71662,0.72585,0.75263,0.49559,1.49862,0.96783,0.01035,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,150.423,0.9127,0.52359,0.00769,0.751,0.64663,0.73219,0.45103,1.70445,1.28497,0.01334,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,155.718,0.9086,0.50189,0.00752,0.8106,0.70569,0.79888,0.51792,1.48431,1.12991,0.01069,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,160.996,0.91629,0.52719,0.00766,0.80019,0.71763,0.79321,0.49794,1.54579,1.06487,0.01141,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,166.298,0.90207,0.51616,0.00758,0.79643,0.77866,0.84675,0.53398,1.4648,0.81411,0.0106,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
