epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.36495,1.35362,3.83317,0.01221,0.00283,0.50959,0.15876,0.11389,1.49868,3.72543,0.01268,0.0097619,0.00325397,0.0097619,0.00325397,0.0772222,0.0707143,0.0097619,0.00325397
2,16.1348,1.18777,1.98901,0.00956,0.98973,0.06847,0.47182,0.25656,1.49775,2.77373,0.01176,0.0196641,0.00655469,0.0196641,0.00655469,0.0537911,0.0406817,0.0196641,0.00655469
3,23.9533,1.18112,1.41804,0.0096,0.68949,0.30106,0.43968,0.249,1.79474,2.12401,0.01748,0.0294673,0.00982242,0.0294673,0.00982242,0.0302609,0.0106161,0.0294673,0.00982242
4,31.7061,1.1956,1.19213,0.00973,0.70097,0.483,0.55154,0.3235,1.55658,1.7933,0.01356,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,39.4307,1.16018,0.97918,0.00912,0.68975,0.6079,0.68996,0.38219,1.56297,1.24115,0.01442,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,47.1822,1.11954,0.85792,0.00874,0.60144,0.54482,0.54353,0.33924,1.63171,1.44459,0.01518,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,54.9306,1.10947,0.81457,0.00871,0.67658,0.66043,0.67813,0.42533,1.4968,1.11029,0.013,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,62.6778,1.09725,0.76057,0.0085,0.73123,0.6067,0.69522,0.41572,1.45547,1.30528,0.0116,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,70.4471,1.08526,0.72731,0.00838,0.72804,0.6492,0.73338,0.43512,1.43214,1.05242,0.01242,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,78.1812,1.06534,0.6703,0.00826,0.7636,0.72121,0.78983,0.48008,1.44144,0.9435,0.01266,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,85.9395,1.06267,0.66844,0.00823,0.76837,0.76214,0.8087,0.48298,1.3419,1.44595,0.01085,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,93.6699,1.03084,0.65794,0.00803,0.74998,0.75586,0.8279,0.50616,1.40251,0.88237,0.01179,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,101.391,1.04326,0.64433,0.0081,0.80841,0.82321,0.87062,0.54745,1.29167,0.68488,0.01007,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,109.098,1.02941,0.62386,0.00799,0.73375,0.74204,0.76431,0.45454,1.514,0.90855,0.01217,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,116.838,1.02045,0.61196,0.00787,0.78896,0.82363,0.86691,0.54443,1.3327,0.74133,0.01041,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,124.58,1.01648,0.60782,0.00776,0.80927,0.72309,0.77532,0.4784,1.31367,1.01376,0.01032,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,132.292,1.00982,0.5863,0.00778,0.76057,0.73657,0.78903,0.49012,1.30576,0.92091,0.01066,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,140.006,1.00694,0.58392,0.00776,0.85454,0.81035,0.86445,0.55647,1.26312,0.6823,0.01007,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,147.747,1.0155,0.57563,0.00763,0.81563,0.83069,0.86448,0.54699,1.29903,0.72104,0.01116,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,155.487,1.00048,0.56773,0.00759,0.87382,0.85771,0.90979,0.57958,1.24321,0.60474,0.00909,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,163.203,0.99001,0.55635,0.00741,0.85138,0.77406,0.8472,0.53539,1.31187,0.78709,0.01086,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,170.931,0.98262,0.54039,0.00745,0.83935,0.78708,0.85483,0.55002,1.24277,0.71219,0.00951,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,178.668,0.97869,0.54319,0.00754,0.87581,0.67487,0.78889,0.51505,1.37117,0.85457,0.01101,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,186.413,0.96954,0.53278,0.00721,0.82241,0.75576,0.80174,0.49242,1.40013,0.80548,0.01118,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,194.161,0.97238,0.5329,0.00725,0.87147,0.79959,0.87341,0.56397,1.2495,0.67,0.00942,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,201.929,0.9628,0.51487,0.00718,0.82973,0.68089,0.73799,0.47072,1.50857,1.12679,0.01265,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,209.678,0.9597,0.52489,0.00735,0.83389,0.80048,0.85518,0.53692,1.33078,0.72859,0.01026,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,217.43,0.96604,0.51597,0.00726,0.82538,0.78145,0.84478,0.54369,1.29927,0.69229,0.01022,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,225.184,0.96123,0.51007,0.00713,0.87376,0.80926,0.88363,0.58279,1.21211,0.69294,0.00918,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,232.926,0.9539,0.49976,0.00718,0.73187,0.79958,0.8079,0.53209,1.2484,0.76999,0.00979,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,240.648,0.94196,0.50123,0.00701,0.83705,0.77134,0.84601,0.54819,1.28063,0.80897,0.00959,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,248.359,0.9392,0.49046,0.00701,0.82042,0.77622,0.83001,0.51062,1.37159,0.83462,0.01057,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,256.074,0.93338,0.48642,0.00689,0.85703,0.78774,0.85369,0.56449,1.23379,0.63969,0.00985,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,263.816,0.9397,0.4899,0.00698,0.83167,0.81617,0.89915,0.59079,1.21736,0.71178,0.00974,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,271.551,0.93635,0.49548,0.00693,0.84663,0.77185,0.82987,0.55381,1.26641,0.7653,0.00985,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,279.278,0.93197,0.48236,0.00687,0.83968,0.74712,0.80111,0.52559,1.34281,0.73183,0.01024,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,286.994,0.91509,0.47246,0.00684,0.91079,0.8423,0.92556,0.60722,1.18503,0.58574,0.00868,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,294.709,0.92227,0.47799,0.00684,0.79915,0.80792,0.86614,0.57923,1.18047,0.68216,0.00869,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,302.432,0.92802,0.47652,0.0069,0.86466,0.74491,0.84186,0.5482,1.26299,0.82071,0.00957,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,310.157,0.90678,0.47397,0.00669,0.87119,0.82015,0.88636,0.58485,1.22096,0.63868,0.00905,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,317.866,0.92411,0.47392,0.00677,0.88883,0.85592,0.91188,0.59092,1.23312,0.58224,0.00936,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,325.6,0.90113,0.45446,0.0067,0.84483,0.83257,0.8896,0.60563,1.14715,0.64521,0.00835,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,333.364,0.9071,0.45841,0.00666,0.82997,0.79415,0.84825,0.54069,1.38024,0.69648,0.01137,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,341.071,0.89653,0.45389,0.00662,0.84047,0.81178,0.8767,0.58073,1.18492,0.6325,0.00835,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,348.812,0.90211,0.45143,0.00662,0.84407,0.79083,0.86418,0.55494,1.22993,0.69082,0.00914,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,356.542,0.89927,0.45101,0.00668,0.83657,0.77264,0.81806,0.54705,1.17398,0.82601,0.00866,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,364.248,0.90295,0.45952,0.0067,0.87462,0.83652,0.90272,0.60104,1.17292,0.59298,0.00878,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
